
***** Phase 1 differential defect constraints *****
LOWER		G(X)		UPPER		SCALING
0.000000e+00	3.410605e-15	0.000000e+00	2.000000e-02 ***
40	-1.000000e+00	9.474336e-04	1.000000e+00	2.000000e-02	CONTROL 1 PHASE 1
41	-1.000000e+00	2.076958e-03	1.000000e+00	2.000000e-02	CONTROL 1 PHASE 1
42	-1.000000e+00	3.978816e-03	1.000000e+00	2.000000e-02	CONTROL 1 PHASE 1
43	-1.000000e+00	7.351418e-03	1.000000e+00	2.000000e-02	CONTROL 1 PHASE 1
44	-1.000000e+00	1.299754e-02	1.000000e+00	2.000000e-02	CONTROL 1 PHASE 1
45	-1.000000e+00	2.275858e-02	1.000000e+00	2.000000e-02	CONTROL 1 PHASE 1
46	-1.000000e+00	3.703192e-02	1.000000e+00	2.000000e-02	CONTROL 1 PHASE 1
47	-1.000000e+00	4.826193e-02	1.000000e+00	2.000000e-02	CONTROL 1 PHASE 1
48	-1.000000e+00	3.000000e-02	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
49	-1.000000e+00	2.503500e-02	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
50	-1.000000e+00	1.848958e-02	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
51	-1.000000e+00	1.278160e-02	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
52	-1.000000e+00	8.289913e-03	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
53	-1.000000e+00	4.801405e-03	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
54	-1.000000e+00	2.573848e-03	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
55	-1.000000e+00	1.186354e-03	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
56	-1.000000e+00	5.423759e-04	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
57	-1.000000e+00	1.826781e-04	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
58	-1.000000e+00	9.085409e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
59	-1.000000e+00	6.276797e-06	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
60	-1.000000e+00	2.297716e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
61	-1.000000e+00	-1.279276e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
62	-1.000000e+00	1.417648e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
63	-1.000000e+00	-1.256404e-05	1.000000e+00	2.000000e-02	STATE 1 PHASE 1
