0	-2.99243	-0.435693	
0.358738	-2.99502	-0.43596	
0.717476	-2.93443	-0.43554	
1.07621	-0.950959	-0.424966	
1.43495	0.145935	0.0200991	
1.79369	0.00255927	-0.114304	
2.15243	-0.197195	-0.27057	
2.51117	1.60632	0.435326	
2.8699	2.99229	0.435976	
3.22864	2.99651	0.43608	
3.58738	2.99669	0.43609	
3.94612	2.99436	0.436032	
4.30486	2.189	0.435625	
4.66359	0.407905	0.349098	
5.02233	-0.122548	-0.108643	
5.38107	0.114007	0.0673451	
5.73981	-0.43959	-0.29568	
6.09855	-2.11412	-0.435637	
6.45728	-2.99428	-0.436034	
6.81602	-2.99668	-0.436093	
7.17476	-2.99651	-0.436084	
7.5335	-2.99235	-0.435985	
7.89224	-1.45734	-0.435408	
8.25097	0.290213	0.309533	
8.60971	0.0177711	0.13759	
8.96845	-0.130632	-0.00840761	
9.32719	0.94691	0.423587	
9.68593	2.93337	0.435542	
10.0447	2.99501	0.435961	
10.4034	2.99244	0.435693	
